car,price,body,miles,engV,engType,registration,year,model,drive,Age
Mercedes-Benz,99999,crossover,0,2.99,Diesel,yes,2016,GLE-Class,full,3
Mercedes-Benz,70999,crossover,0,2.2,Diesel,yes,2016,GLE-Class,full,3
BMW,63500,crossover,1,2,Diesel,yes,2016,X5,full,3
BMW,59900,crossover,30,2,Diesel,yes,2016,X5,full,3
Mitsubishi,9200,crossover,110,2.4,Petrol,yes,2006,Outlander,full,13
Nissan,20241.897,crossover,0,1.6,Petrol,yes,2015,Juke,front,4
Mercedes-Benz,14490,vagon,212,2.2,Diesel,yes,2008,E-Class,rear,11
Mercedes-Benz,0,crossover,0,3,Diesel,yes,2016,GLE-Class,full,3
Volkswagen,8999,sedan,120,1.9,Diesel,yes,2007,Passat B6,front,12
Audi,3650,sedan,240,2.5,Diesel,no,2000,A6,front,19
Nissan,17000,hatch,38,NA,Other,yes,2013,Leaf,front,6
Mitsubishi,12000,sedan,121,2.4,Gas,yes,2009,Galant,front,10
Kia,20633.886,crossover,0,1.7,Diesel,yes,2016,Sportage,front,3
Porsche,55000,crossover,105,3,Diesel,yes,2012,Cayenne,full,7
Kia,18000,crossover,64,2,Diesel,yes,2011,Sportage,full,8
Kia,21700,crossover,58,2,Diesel,yes,2012,Sportage,full,7
Volkswagen,2400,vagon,320,1.9,Diesel,no,2000,Passat B5,front,19
Volkswagen,2350,sedan,300,1.9,Diesel,no,1998,Passat B5,front,21
Honda,18600,vagon,98,2.4,Gas,yes,2011,Accord,front,8
Mercedes-Benz,104999,crossover,1,3,Diesel,yes,2016,GLE-Class,full,3
Toyota,195000,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full,3
Porsche,49900,crossover,73,3,Diesel,yes,2011,Cayenne,full,8
Porsche,50900,crossover,53,3.6,Petrol,yes,2013,Cayenne,full,6
Porsche,99999,crossover,1,2.99,Diesel,yes,2016,Cayenne,full,3
Mercedes-Benz,0,crossover,0,3,Diesel,yes,2016,GLE-Class,full,3
Toyota,0,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full,3
Toyota,102999,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full,3
Audi,35900,crossover,143,3,Diesel,yes,2010,Q7,full,9
Honda,16500,sedan,147,2.4,Petrol,yes,2009,Accord,front,10
Toyota,103999,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full,3
Porsche,114900,crossover,25,4.8,Petrol,yes,2013,Cayenne,full,6
Porsche,26500,crossover,160,4.8,Petrol,yes,2008,Cayenne,full,11
Mitsubishi,12999,crossover,140,2.4,Gas,yes,2007,Outlander XL,full,12
